Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
11/8/2015,PerthAirport,13.6,26.2,0,4.2,12.7,SW,44,S,SW,11,33,57,47,1019,1016.7,0,1,20.1,24.2,No
11/9/2015,PerthAirport,14.7,30.4,0,7,12.4,E,52,S,SW,13,30,58,40,1019.7,1016,1,2,22.6,28.1,No
11/10/2015,PerthAirport,17.1,32.1,0,8.6,12.8,ENE,54,ENE,WSW,22,24,45,37,1017.2,1014.3,3,6,25.2,29.8,No
11/11/2015,PerthAirport,11.5,30.5,0,8.6,12.6,WSW,35,SSW,SW,9,24,59,29,1017.1,1014.9,0,1,22.8,29.8,No
11/12/2015,PerthAirport,14.8,34.8,0,8.6,11.9,W,39,E,WSW,19,24,46,36,1019.1,1016.8,5,5,24.9,31.4,No
11/13/2015,PerthAirport,19.7,36.1,0,10.8,12.6,E,69,E,WSW,26,22,36,21,1018.3,1014.4,1,1,26.6,35.4,No
11/14/2015,PerthAirport,21.9,39.2,0,8,12.6,E,56,NNE,W,24,28,23,21,1012.2,1008.5,1,1,33.8,35.2,No
11/15/2015,PerthAirport,18.7,32.5,0,13.2,12.2,WSW,37,S,SW,13,26,40,38,1012.5,1011.7,1,0,27.6,29.4,No
11/16/2015,PerthAirport,12.9,32.5,0,10.8,13.1,ENE,30,NE,W,11,13,37,17,1012.3,1009.1,0,0,25.9,31.3,No
11/17/2015,PerthAirport,14,26.2,0,10.8,9,W,52,WNW,WNW,20,31,65,56,1006.1,1008.7,1,7,24.2,23.4,No
11/18/2015,PerthAirport,16.3,21.8,0.8,7.2,8.5,WSW,50,W,WSW,28,24,38,58,1015.9,1016.3,6,7,20.9,18.3,No
11/19/2015,PerthAirport,8.8,22.8,0.6,6.2,12.7,WSW,48,SW,SW,19,26,42,33,1023.3,1022.3,3,1,18.9,21,No
11/20/2015,PerthAirport,12.9,30.1,0,7.6,13.1,E,56,E,E,26,15,39,15,1026.1,1020.5,1,6,19.9,29.5,No
11/21/2015,PerthAirport,15.4,34.8,0,11,12.9,E,76,NE,NE,31,20,28,10,1021,1016.5,3,3,24.5,33.9,No
11/22/2015,PerthAirport,21.8,36.2,0,12.2,11.9,E,61,NNE,NW,31,30,14,12,1014.9,1013.2,6,0,31.2,33.4,No
11/23/2015,PerthAirport,15.3,28.6,0,10,11.5,NNW,35,NW,W,9,17,67,48,1014.8,1012.3,4,5,23.2,26.3,No
11/24/2015,PerthAirport,16.6,27.1,0,7.8,12.5,WSW,48,SSW,WSW,24,33,57,42,1015.2,1012.5,5,1,22.6,26.3,No
11/25/2015,PerthAirport,14.7,26.5,0,10.4,13.2,SE,48,S,SW,13,30,50,39,1017.3,1013.8,1,1,21.1,25.5,No
11/26/2015,PerthAirport,14.3,31,0,9.8,12,E,50,E,E,30,13,38,22,1017.6,1012.1,1,6,21.2,30,No
11/27/2015,PerthAirport,16.9,31.5,0,9,13,ESE,33,N,W,11,22,37,34,1012.3,1009.8,2,,25.5,29.4,No
11/28/2015,PerthAirport,16.3,28.7,0,9.8,12.6,W,37,SSE,W,9,24,45,47,1014.6,1013.5,2,1,23.8,26.6,No
11/29/2015,PerthAirport,13.7,27.1,0,8.6,13,SW,50,SW,SW,7,33,50,44,1016.2,1014.8,3,1,22.9,24.4,No
11/30/2015,PerthAirport,12.1,25.7,0,9.8,13.2,SSE,41,SSE,SW,26,37,47,37,1020.3,1016.9,4,0,19.6,23.4,No
12/1/2015,PerthAirport,13.9,29.1,0,12,13.1,,,E,ESE,28,20,37,17,1021.8,1017.2,0,0,19.7,28.2,No
12/2/2015,PerthAirport,15.9,36.2,0,10.2,9.1,ESE,56,ENE,ENE,31,15,31,16,1015.8,1009.5,6,7,24.3,35,No
12/3/2015,PerthAirport,22.6,30.3,0,9.4,9.8,SW,41,NW,WSW,9,26,38,43,1009.1,1008.9,2,7,28.2,26.3,No
12/4/2015,PerthAirport,16.3,25,0,10.8,9.1,WSW,46,SSW,SW,20,30,53,44,1012.3,1011.4,7,5,21.2,23.4,No
12/5/2015,PerthAirport,12.7,18.9,4.8,7.6,4.3,W,54,SSW,SSE,20,9,73,64,1012.5,1011.5,7,7,15.3,16.2,Yes
12/6/2015,PerthAirport,11.3,21.7,11,4.8,1.9,SW,52,W,WSW,24,28,89,67,1013.2,1013.5,7,7,17.3,20.3,Yes
12/7/2015,PerthAirport,12.7,23.4,1.6,2.8,11.5,SW,54,SW,SW,26,35,54,48,1018.1,1017.4,6,4,19.8,21.4,Yes
12/8/2015,PerthAirport,8.3,24.7,0,8,12.9,WSW,43,SSE,SW,13,28,50,42,1020.8,1018.4,3,0,18.7,22.8,No
12/9/2015,PerthAirport,13.1,25.1,0,7.8,12.1,W,39,SSW,W,13,26,51,48,1020.3,1017.3,2,5,21.3,23.4,No
12/10/2015,PerthAirport,13.9,27.8,0,8,13.1,SW,44,SE,SW,19,33,44,35,1020.2,1017.2,1,1,21.6,26.2,No
12/11/2015,PerthAirport,15.9,32.5,0,11.2,12.7,E,69,ENE,WSW,26,31,33,26,1019.2,1013.9,1,2,22.6,30.2,No
12/12/2015,PerthAirport,16,29.4,0,7.8,6.2,WSW,43,SSW,SW,13,30,45,32,1011.6,1010.5,8,8,25,27.1,No
12/13/2015,PerthAirport,15,26.1,0,6.8,12.1,W,39,S,WSW,17,24,56,51,1014.6,1012.9,4,1,22.6,24,No
12/14/2015,PerthAirport,13,26,0,6.6,13.3,SW,46,NW,SW,6,24,54,43,1014.7,1013.2,1,1,22.4,25.5,No
12/15/2015,PerthAirport,12.3,28.7,0,8.8,13.3,W,37,WNW,W,9,24,49,49,1013.3,1011.7,0,0,23.5,25.8,No
12/16/2015,PerthAirport,15.9,27.6,0,8.8,12.9,SW,48,S,SW,19,35,51,49,1014.7,1012.5,3,1,22.1,25.5,No
12/17/2015,PerthAirport,16.6,29.7,0,10,13,SSW,43,SSW,W,13,26,45,42,1013.3,1009.4,3,1,24.7,28.3,No
12/18/2015,PerthAirport,17,26.5,0,9.2,12.8,SW,54,WNW,SSW,7,41,48,50,1009.6,1008.9,4,3,23.2,24.2,No
12/19/2015,PerthAirport,14.3,23.8,0,11,13.2,WSW,54,S,SW,35,35,30,33,1014.8,1012.1,5,2,19.9,21.9,No
12/20/2015,PerthAirport,15.3,30,0,10.6,11.5,ENE,56,E,E,31,17,41,16,1015.2,1009.9,5,1,19.4,29.1,No
12/21/2015,PerthAirport,17.8,36.3,0,11.8,12.5,E,61,ENE,SW,28,37,28,20,1010.4,1007.5,1,1,27.5,33.8,No
12/22/2015,PerthAirport,23.1,39.8,0,12.2,13,SW,46,E,SW,15,31,31,22,1011.8,1008.8,0,2,31.7,37.2,No
12/23/2015,PerthAirport,21.7,40,0,12,12.8,SW,48,ENE,WSW,28,33,34,27,1010.2,1005.8,1,2,32.6,35.8,No
12/24/2015,PerthAirport,18.1,27.9,0,12,13,SW,56,SSW,SW,33,37,51,47,1010.7,1009.9,1,0,22.7,24.9,No
12/25/2015,PerthAirport,12.1,30.3,0,12.6,13.1,ESE,48,ESE,E,24,15,39,14,1018.2,1014.7,0,0,19.7,28.8,No
12/26/2015,PerthAirport,14.4,33.9,0,11.8,13.3,E,57,E,S,31,13,32,14,1016.7,1012.4,0,0,21.6,33.4,No
12/27/2015,PerthAirport,16.9,38.7,0,11.8,13.2,E,44,NE,WSW,22,22,14,10,1014.7,1012.2,0,0,30.3,37,No
12/28/2015,PerthAirport,20,41.7,0,12.4,13.2,ENE,39,NNE,SW,24,28,9,9,1013.9,1010.5,0,1,35.4,40.2,No
12/29/2015,PerthAirport,22.4,36.9,0,15.2,10.1,W,35,NNE,W,19,24,9,39,1008,1007.2,6,7,35.7,30.5,No
12/30/2015,PerthAirport,21,32.2,0,10.8,7.2,E,59,SE,W,19,24,45,40,1011,1008.9,3,7,23.6,29.4,No
12/31/2015,PerthAirport,17.8,32.2,0,9,12.9,ESE,67,E,ESE,33,19,44,21,1015,1011.9,1,1,22.4,31.4,No
1/1/2016,PerthAirport,16.8,35,0,13.2,12.2,E,85,E,E,35,28,43,20,1016,1010.8,3,7,22.5,33.1,No
1/2/2016,PerthAirport,19.5,36.6,1.2,13.2,11.4,E,59,ENE,SSE,37,15,48,25,1011,1007.8,2,1,25.5,35.8,Yes
1/3/2016,PerthAirport,22.5,37.4,0,10.8,12.3,E,41,ESE,WSW,11,30,41,34,1012.1,1009,4,4,28.5,34.8,No
1/4/2016,PerthAirport,24,31.4,0,13.4,4.2,W,37,S,WSW,9,20,39,38,1010.9,1010.1,8,7,29.4,30.2,No
1/5/2016,PerthAirport,20.2,30.2,0,7,10.3,NW,37,NNE,W,13,20,66,54,1012.2,1010.3,6,1,24.1,28.6,No
1/6/2016,PerthAirport,19,34.9,0,6.4,12.6,WSW,37,NNE,WSW,9,24,49,48,1014.7,1012.4,0,1,27.7,30.1,No
1/7/2016,PerthAirport,22.2,43,0,11.8,12.6,E,57,NE,E,33,24,22,15,1014.7,1009.9,1,5,33.4,36.6,No
1/8/2016,PerthAirport,26.5,37.4,0.2,15.4,6.1,ESE,61,E,E,30,43,40,24,1012.5,1010.9,6,7,27.5,34.6,No
1/9/2016,PerthAirport,17.5,35.5,0,10.4,11.6,WNW,41,NNE,WNW,11,28,38,31,1012.4,1008.9,1,5,29.5,34.3,No
1/10/2016,PerthAirport,20.8,25.9,0,9.6,4.7,SW,39,WSW,WSW,17,22,64,48,1013,1012.5,7,5,22.9,25.4,No
1/11/2016,PerthAirport,14.7,27.6,0,5.4,7.9,WSW,35,N,WSW,13,22,66,51,1013,1011.7,4,3,22.8,25.9,No
1/12/2016,PerthAirport,17.6,26.9,0,7,7,SW,41,WSW,SW,22,24,69,48,1014.2,1014.3,7,5,22.9,26.4,No
1/13/2016,PerthAirport,15,31.4,0,8.8,13.3,E,57,E,SE,33,22,41,16,1023.4,1019.8,6,1,21.1,29.8,No
1/14/2016,PerthAirport,16,34.1,0,12.4,13.2,ESE,61,E,ENE,33,28,36,15,1023.8,1018.4,1,1,22.2,33.2,No
1/15/2016,PerthAirport,18.7,36.7,0,13.4,11.6,E,56,NE,WSW,33,7,23,11,1019,1014.8,1,3,29.6,35.8,No
1/16/2016,PerthAirport,22,38.6,0,11.4,8.4,NNE,41,NNE,W,28,17,22,19,1013.8,1011.1,7,6,32.5,35.6,No
1/17/2016,PerthAirport,17.6,31.3,0,9.6,9.2,W,33,SW,W,9,20,43,43,1010.6,1006.8,5,7,28,29.8,No
1/18/2016,PerthAirport,19.5,23.9,0,8,2.9,WNW,35,WNW,WSW,20,17,76,55,1006.2,1004.7,8,7,20.6,22.9,No
1/19/2016,PerthAirport,12.8,25.9,0,5.2,5.5,NNE,44,NE,ESE,24,11,60,37,1005.4,1003.4,6,5,19,25.3,No
1/20/2016,PerthAirport,13.9,25.6,3.4,3.1,9,WSW,37,NNE,W,9,24,75,50,1008.5,1007.1,2,7,19.1,24.4,Yes
1/21/2016,PerthAirport,16.5,28.4,0,6.4,8.6,SSW,41,S,SW,17,26,60,48,1014,1012.7,7,3,22.1,27.1,No
1/22/2016,PerthAirport,16.5,30.4,0,8.2,13.1,ENE,39,E,SW,24,28,46,38,1018.2,1014.8,1,1,22.3,28.1,No
1/23/2016,PerthAirport,17.6,36,0,10,11.1,E,52,ENE,SSW,24,26,40,29,1014.9,1011.1,1,2,27.2,33.7,No
1/24/2016,PerthAirport,18.9,36.2,1.4,9.4,12.8,E,39,E,WSW,20,26,54,37,1015.4,1011.2,1,4,27.4,34.3,Yes
1/25/2016,PerthAirport,20.5,33.9,9.2,10.6,9.2,E,41,ENE,SW,28,15,70,48,1010.7,1007.9,5,2,24.8,32.9,Yes
1/26/2016,PerthAirport,21.1,33.9,0.2,6.6,11.6,ESE,46,ENE,S,19,13,59,36,1012.6,1010.3,3,4,26.5,33.2,No
1/27/2016,PerthAirport,21.1,33.8,0,11.4,11.1,E,46,ESE,SSE,20,26,49,27,1015.9,1013.2,7,7,24.8,33,No
1/28/2016,PerthAirport,17.4,34.4,0,11.2,11.9,E,65,E,ESE,35,26,47,23,1017,1013.5,1,3,23.1,33.8,No
1/29/2016,PerthAirport,19.1,37.4,0,12.6,11.2,E,70,ENE,ENE,30,26,43,18,1013.3,1008.7,7,4,24.9,36.7,No
1/30/2016,PerthAirport,24.6,26.1,0,15.8,1.3,E,59,ENE,ESE,17,13,40,82,1006.4,1006.1,7,8,25.9,20.4,No
1/31/2016,PerthAirport,19.3,25.3,7.8,14.4,3.9,SSW,61,SSW,S,19,43,72,65,1001.7,1002.8,7,7,22.9,20.6,Yes
2/1/2016,PerthAirport,7.1,23.1,0,5.6,11.9,S,50,SSE,SW,20,30,41,32,1011.9,1010.5,1,2,18,22,No
2/2/2016,PerthAirport,9.7,27.7,0,7.2,12.7,W,39,SSE,WSW,13,24,36,41,1019.1,1015.6,0,0,19.8,24.9,No
2/3/2016,PerthAirport,15,32.3,0,8.8,12.8,E,52,E,ESE,31,13,40,19,1020.6,1017,0,1,22.9,30.5,No
2/4/2016,PerthAirport,15.3,35,0,9.2,12.6,E,54,ENE,E,31,11,37,16,1019.2,1014.4,1,0,25.4,33.7,No
2/5/2016,PerthAirport,16.1,36.8,0,11.4,12.7,WSW,46,NNE,SW,13,33,27,19,1015.1,1012.7,0,0,29.1,32.8,No
2/6/2016,PerthAirport,18.4,34.4,0,11.8,12.7,WSW,37,ENE,SW,17,26,38,29,1015.3,1013.2,0,1,27.7,32.5,No
2/7/2016,PerthAirport,19.9,40.1,0,12,12.7,ENE,48,ENE,ENE,30,11,43,10,1016,1013,0,1,26.8,39,No
2/8/2016,PerthAirport,20.7,42.6,0,13.2,12.5,NNE,41,NE,NNW,28,15,12,7,1015.9,1012.2,0,0,34.5,41.9,No
2/9/2016,PerthAirport,20.9,42.5,0,13.4,12.6,WSW,37,NE,W,13,22,16,9,1014.8,1012,0,0,33.9,39.7,No
2/10/2016,PerthAirport,21,42.7,0,12,12.5,WSW,35,NE,WSW,15,19,28,16,1013.8,1011,1,1,30.7,37.5,No
2/11/2016,PerthAirport,19,35.2,0,11.8,12.3,SW,33,N,WSW,6,19,53,34,1013,1011.1,0,1,28.1,33.6,No
2/12/2016,PerthAirport,18.8,31.4,0,9.8,12.4,SW,43,SSW,SW,13,28,63,40,1017.3,1015.2,1,1,24.8,30,No
2/13/2016,PerthAirport,19.4,31.6,0,10,12.5,SSW,39,SE,SSE,20,20,50,19,1021.3,1017.4,1,0,23.3,31.2,No
2/14/2016,PerthAirport,16.6,31.9,0,9.6,12,ESE,54,E,E,24,17,42,20,1021.5,1017.3,3,1,21.9,31.4,No
2/15/2016,PerthAirport,17.6,34,0,11.8,12.1,,,E,ESE,43,31,43,18,1021.1,1016.3,0,1,23,33,No
2/16/2016,PerthAirport,19.2,39.5,0,10.6,11.5,E,69,NE,NNE,35,15,27,14,1016.4,1012.1,2,1,26.9,38.1,No
2/17/2016,PerthAirport,21.1,34.3,0,9.2,12.4,SW,39,NNW,WSW,11,28,20,45,1012.4,1011.7,1,1,31.7,29,No
2/18/2016,PerthAirport,18.3,31.7,0,11.4,10,ESE,50,SE,SSE,24,17,51,31,1016.8,1013.7,6,6,23.7,30.3,No
2/19/2016,PerthAirport,19.8,31,0,9,12.1,E,76,ESE,ESE,30,31,45,28,1016.3,1012.1,1,3,24.3,30.2,No
2/20/2016,PerthAirport,18.8,33.8,0,11.2,10.3,E,74,ENE,WSW,22,28,45,29,1012.1,1007.6,1,3,25.8,32.7,No
2/21/2016,PerthAirport,17.8,26.7,0,8.4,9.2,WNW,35,WNW,W,17,20,67,56,1011.7,1011.2,6,5,23.5,24.8,No
2/22/2016,PerthAirport,17.3,25.4,0.6,5.8,9.2,SW,44,SW,WSW,28,26,61,47,1016.8,1016.3,6,5,21.2,23.3,No
2/23/2016,PerthAirport,9.7,24.2,0.2,8,8.7,SW,44,NE,WSW,6,28,58,44,1016.3,1014,6,3,20.5,23.3,No
2/24/2016,PerthAirport,11.4,24,0,8.2,12,SW,50,ESE,WSW,26,33,48,33,1019.1,1016.5,2,1,18.9,22.8,No
2/25/2016,PerthAirport,14.5,29.4,0,6.8,12.2,E,54,E,SSW,19,11,41,18,1021.9,1018.2,0,0,20.2,29.1,No
2/26/2016,PerthAirport,16,37.4,0,10,12.1,E,57,E,SW,28,9,36,20,1018.9,1013.4,0,2,23.7,36.4,No
2/27/2016,PerthAirport,23.5,39.2,0,10.8,10.8,WNW,43,N,W,26,20,27,35,1012.4,1011.1,0,1,33.8,33.1,No
2/28/2016,PerthAirport,21.8,27.6,0,8.8,10,W,33,WSW,W,15,20,69,51,1015.8,1014.4,7,1,23.3,26.8,No
2/29/2016,PerthAirport,17.2,25.5,0,7.6,10.1,SW,44,WSW,WSW,11,24,62,50,1016.4,1016.3,5,2,21.7,23.8,No
3/1/2016,PerthAirport,13.4,26.1,0,7.4,11.2,SW,43,SSW,SW,11,31,61,40,1020.1,1017.3,2,0,20.8,24.3,No
3/2/2016,PerthAirport,12.8,32,0,8.4,11.9,E,35,E,WSW,26,24,48,27,1019.2,1015.6,1,0,22.2,31.3,No
3/3/2016,PerthAirport,12.6,27,0,8.4,9.5,SW,48,W,W,7,26,57,56,1016.9,1015.6,6,3,20.9,24.3,No
3/4/2016,PerthAirport,14.8,28,0,7.6,11.9,SSW,46,S,SW,19,33,60,45,1020.3,1016.2,1,1,20.2,26.2,No
3/5/2016,PerthAirport,17.1,29.8,0,7.8,11.9,E,39,E,WSW,17,26,52,43,1019.4,1015.9,1,1,21.9,27.2,No
3/6/2016,PerthAirport,18.8,31.3,0,8.4,11.8,E,54,ENE,ENE,28,17,56,32,1019.6,1016.5,5,3,22.8,30.6,No
3/7/2016,PerthAirport,19.2,33.6,0,8,11.8,E,61,ENE,ESE,37,13,51,23,1019.2,1015.5,1,1,24.1,32.6,No
3/8/2016,PerthAirport,19,34.5,0,9.4,11.7,E,54,NE,WSW,17,22,38,23,1015.8,1011.7,0,1,26.8,33.7,No
3/9/2016,PerthAirport,17.1,37.3,0,11,11.7,ENE,43,ENE,WSW,20,28,38,22,1013,1009.6,1,1,27.4,34.4,No
3/10/2016,PerthAirport,13.9,31.1,0,8,7.6,SW,43,S,SW,15,24,69,26,1012.6,1010.2,7,7,23.5,29.8,No
3/11/2016,PerthAirport,18.7,31.2,0,8.6,11.1,WSW,41,SSE,SW,17,31,48,37,1015.8,1012.7,1,1,23.6,29.5,No
3/12/2016,PerthAirport,19.8,34.7,0,8.4,11.2,E,41,E,WSW,20,26,52,39,1016.1,1012.5,0,0,24.6,30.8,No
3/13/2016,PerthAirport,20.1,39.7,0,8.4,10.6,E,57,E,E,37,20,39,15,1014.4,1011.4,2,2,28.7,38.4,No
3/14/2016,PerthAirport,26.2,40.1,0,13.8,10.8,E,61,NE,NE,33,26,26,13,1013.7,1008.7,7,7,31.7,39.5,No
3/15/2016,PerthAirport,22.1,29.6,0,11,8.9,NNE,39,N,WSW,7,22,72,63,1009.8,1007,3,7,25.7,27,No
3/16/2016,PerthAirport,19.4,27.2,0,6.8,9.4,SW,48,S,SW,28,31,67,40,1012.2,1009.7,7,1,20.7,26,No
3/17/2016,PerthAirport,16,28.5,0,7.6,9.6,SE,56,ESE,ESE,22,24,45,23,1016.1,1011.5,1,3,20.2,27.7,No
3/18/2016,PerthAirport,16.8,29.8,0,9.8,10.7,E,54,E,ESE,31,22,48,32,1014.5,1010.1,1,7,20.7,29,No
3/19/2016,PerthAirport,20.4,23.7,0,9,1.2,NE,44,ESE,ESE,13,17,53,68,1012,1009.4,7,7,21.5,22.5,No
3/20/2016,PerthAirport,17.9,32.3,2.2,2,10.9,E,28,ENE,SW,17,11,62,38,1013.7,1010.2,1,3,23.7,31.3,Yes
3/21/2016,PerthAirport,19.5,33.5,0,8,6.8,NE,44,ENE,SW,17,28,48,37,1011.4,1008.9,7,7,26.3,30.5,No
3/22/2016,PerthAirport,20.9,26.5,0,7.6,2.2,SE,41,SE,ESE,19,24,61,54,1012.4,1011.7,6,7,23.5,24.8,No
3/23/2016,PerthAirport,19,24.6,0,4,1.6,SE,46,ESE,ESE,15,28,72,55,1017.9,1016.6,8,7,20,23.9,No
3/24/2016,PerthAirport,18.6,26.9,0,4,7.2,E,63,E,E,28,24,67,53,1022.5,1020.1,7,6,21.3,25.8,No
3/25/2016,PerthAirport,21.1,33.4,0,6.4,7.3,E,63,ENE,NE,31,15,58,40,1020.7,1017.5,7,7,25.2,32.6,No
3/26/2016,PerthAirport,19.9,22.4,8,5,0,E,31,ENE,E,11,17,92,95,1019.9,1016.6,8,8,20.2,21.1,Yes
3/27/2016,PerthAirport,16.5,23.2,11.2,2.2,5.3,SE,50,SE,SE,24,28,75,52,1018.9,1018.4,7,7,17.4,22.4,Yes
3/28/2016,PerthAirport,12.7,25.7,0,3.2,10.9,E,43,E,ESE,19,24,61,39,1024.2,1021.9,1,1,19.8,24.9,No
3/29/2016,PerthAirport,12.5,28.8,0,5.4,11,SE,37,ENE,W,19,11,56,29,1025.8,1021.6,1,1,20.9,28.1,No
